Ivan Cota Barbosa	m 
Demócrito Barbosa	m 
Eduardo Luís Barros Barbosa	m 
Teobaldo Vasconcelos Barbosa	m 
Carlos Alberto Leite Barbosa	m 
Lázaro Ferreira Barbosa	m 
Dimas Lara Barbosa	m 
Paulo Sérgio Ramos Barbosa	m 
Taís Bergo Duarte Barbosa	f 
Bernardo Belo Pimentel Barbosa	m 
Silval Barbosa	m 
Manuel José Machado Barbuda	m 
Audifax Charles Pimentel Barcelos	m 
Cristóvão de Castro Barcelos	m 
Válter Peracchi Barcelos	m 
Sérgio Cerqueira Barcelos	m 
Eduardo Túlio Sarmento Barcelos	m 
Alcides Amaral Barcelos	m 
Aníbal Barcelos	m 
Válter Barelli	m 
Gentil Barreira	m 
Newton Burlamaqui Barreira	m 
Homero Silva Barreto	m 
Adalberto Barreto	m 
João Carlos Barreto	m 
Alberto Deodato Maia Barreto	m 
Frederico de Barros Barreto	m 
Humberto Esmeraldo Barreto	m 
José Maurício Linhares Barreto	m 
Benedito Manhães Barreto	m 
João de Deus Mena Barreto	m 
Domício Gondim Barreto	m 
Plínio Barreto	m 
Rui Barreto	m 
Edmundo Muniz Barreto	m 
Jaison Tupi Barreto	m 
Francisco de Barros Barreto	m 
Haroldo Sanford de Barros	m 
Dario de Campos Barros	m 
Genésio Vieira de Barros	m 
Hermann de Morais Barros	m 
Ricardo José Magalhães Barros	m 
Antônio Mendes de Barros	m 
Emerenciano Prestes de Barros	m 
Pedro de Morais Barros	m 
Jorge Gama de Barros	m 
Carlos Vandoni de Barros	m 
Reynaldo Emygdio de Barros	m 
Sebastião Monteiro de Barros	m 
Filipe Antônio Xavier de Barros	m 
Durval Miguel de Barros	m 
Sérgio Sebastião de Barros	m 
Marcelo Sanford de Barros	m 
José da Silva Barros	m 
Amintas Ferreira de Barros	m 
Luís Carlos Mendonça de Barros	m 
Gilson Duarte de Barros	m 
Manuel Gomes de Barros	m 
Luís Gonzaga Lins de Barros	m 
Marcos Antônio de Barros	m 
Geraldo Pereira de Barros	m 
Togo Póvoa de Barros	m 
Mário Gomes de Barros	m 
Carlos Gomes de Barros	m 
José Maria Siqueira de Barros	m 
Jesualdo Cavalcanti Barros	m 
Ademar Pereira de Barros	m 
Maurício Rands Coelho Barros	m 
Luís de Morais Barros	m 
Hermenegildo Rodrigues de Barros	m 
Luís de Gonzaga Barros	m 
Sílvio Magalhães Barros	m 
Agrícola Pais de Barros	m 
Paulo de Morais Barros	m 
Eugênio Augusto de Miranda Monteiro de Barros	m 
Paulo Alberto Moretzsohn Monteiro de Barros	m 
Geraldo Bulhões Barros	m 
Vitor Penido de Barros	m 
Cássio Leite de Barros	m 
Sebastião do Rego Barros	m 
Quintino Clementino de Barros	m 
Helvídio Nunes de Barros	m 
João Alberto Lins de Barros	m 
Eugênio de Barros	m 
Olegário Moreira de Barros	m 
Roberto Plens Ferreira Barroso	m 
Luís Roberto Barroso	m 
Geonísio Carvalho Barroso	m 
Francisco Régis Monte Barroso	m 
Jurandy Loureiro Barroso	m 
José Parsifal Barroso	m 
Gustavo Dodt Barroso	m 
Ubaldo Barém	m 
Leôncio Basbaum	m 
Luís Carlos Bassuma	m 
Ataíde Lima Bastos	m 
César da Cunha Bastos	m 
Fernando José Caldeira Bastos	m 
Arnaldo Olinto Bastos	m 
Márcio Thomaz Bastos	m 
Maria de Lourdes Abadia Bastos	f 
Laerte Resende Bastos	m 
Lígia Maria Lessa Bastos	f 
Humberto de Oliveira Rodrigues Bastos	m 
Alberto de Lemos Bastos	m 
Joaquim Justino Alves Bastos	m 
Antônio Osório Meneses Batista	m 
Lourival Batista	m 
Pedro Ernesto Batista	m 
Demistóclides Batista	m 
Luís Batista	m 
Ernesto de Melo Batista	m 
Nilo Batista	m 
Juarez Batista	m 
Paulo Nogueira Batista	m 
Gilberto Miranda Batista	m 
Válter de Assis Ferreira Batista	m 
José Roberto Batochio	m 
Paulo Roberto Bauer	m 
Carlos Minc Baumfeld	m 
Henrique Smith Bayma	m 
Antônio Alexandre Bayma	m 
José Mariano de Freiras Beck	m 
Aníbal di Primio Beck	m 
João Becker	m 
Otair Becker	m 
Francisco Otávio Beckert	m 
José Adamo Belato	m 
Rui Manuel Carneiro Barbosa de Aça Belchior	m 
Valdmir Belinati	m 
Antônio Casemiro Belinati	m 
Ari Presser Belo	m 
Saturnino Belo	m 
Rui Presser Belo	m 
Newton de Barros Belo	m 
Hélio Marcos Pena Beltrão	m 
André Benassi	m 
Osvaldo Afonso Bender	m 
Ronaldo José Benedet	m 
Carlos Mauro Cabral Benevides	m 
Carrel Ipiranga Benevides	m 
Josué Bengtson	m 
Mário Beni	m 
Moisés Bennesby	m 
Asdrúbal Mendes Bentes	m 
Paulo de Meneses Bentes	m 
Rubem da Silva Bento	m 
Olga Gutmann Benário	f 
João Tavares Correia Beraldo	m 
Egon Bercht	m 
Adolfo Bergamini	m 
Dario Elias Berger	m 
Djalma Vando Berger	m 
Herman Bergqvist	m 
Artur da Silva Bernardes	m 
Carlos Alfredo Bernardes	m 
Adrião Bernardes	m 
Gabriel Loureiro Bernardes	m 
João Juarez Bernardes	m 
Renato Bernardi	m 
Iara Bernardi	f 
Celso Bernardi	m 
Mansueto Bernardi	m 
Serafim Enoss Bertaso	m 
Lyrio Bertoli	m 
Ricardo José Ribeiro Berzoini	m 
Alberto Bomílcar Besouchet	m 
Laerte Rodrigues Bessa	m 
Djalma Alves Bessa	m 
Leopoldo Pacheco Bessone	m 
Hugo Manhães Bethlem	m 
Fernando Belfort Bethlem	m 
Joelmir José Beting	m 
José Horácio Betônico	m 
Joaquim Vicente Ferreira Bevilacqua	m 
Peri Constant Bevilacqua	m 
Aluísio Gonçalves Bezerra	m 
Fernando Luís Gonçalves Bezerra	m 
Teodorico Bezerra	m 
José Mendonça Bezerra	m 
Aparecida Maria Borges Bezerra	f 
Antônio Valmir Campelo Bezerra	m 
Jefferson Praia Bezerra	m 
Gregório Lourenço Bezerra	m 
José Adauto Bezerra	m 
Francisco Humberto Bezerra	m 
Maria de Fátima Bezerra	f 
Carlos Gomes Bezerra	m 
Mário Pena Bhering	m 
José de Abreu Bianco	m 
Ralph Biasi	m 
Maurício Chagas Bicalho	m 
Hélio Pereira Bicudo	m 
Hugo Matias Biehl	m 
Júlio de Sá Bierrenbach	m 
Flávio Flores da Cunha Bierrenbach	m 
João Lúcio Magalhães Bifano	m 
Antônio Carlos Biffi	m 
Jean André Binoche	m 
Alberto Bins	m 
Osvaldo Aniceto Biolchi	m 
Hildebrando Bisaglia	m 
Antonio Carlos Silva Biscaia	m 
Antônio Chalbaud Biscaia	m 
José Rufino Ribeiro Tavares Bisneto	m 
José Paulo Bisol	m 
Jorge Ricardo Bittar	m 
Márcio Miguel Bittar	m 
Paulo Bittencourt	m 
Fábio Pereira de Lucena Bittencourt	m 
Heitor de Macedo Bittencourt	m 
João Guilherme Lameira Bittencourt	m 
Raul Jobim Bittencourt	m 
Randolfo de Sousa Bittencourt	m 
Epitácio Bittencourt	m 
Pedro Calmon Muniz de Bittencourt	m 
Edmundo Drummond Bittencourt	m 
Niomar Muniz Sodré Bittencourt	m 
José Alexínio Bittencourt	m 
Clemente Mariani Bittencourt	m 
Luis José Bittencourt	m 
Luís Edmundo Brígido Bittencourt	m 
Carlos Alberto Lúcio Bittencourt	m 
Luciano Caldas Bivar	m 
Arnaldo Válter Blank	m 
Eva Alterman Blay	f 
João Punaro Bley	m 
Adolfo Bloch	m 
Jules François Blondel	m 
Bernard David Blower	m 
Antônio Martins Vilas Boas	m 
Sinval Boaventura	m 
Albino Gonçalves Boaventura	m 
Jorge Catarino Leonardelli Boeira	m 
Sadi Coube Bogado	m 
Vicente Joaquim Bogo	m 
Raimundo Rodrigues Bogéa	m 
Antenor Américo Mourão Bogéa	m 
Norton Demaria Boiteux	m 
Jair Messias Bolsonaro	m 
Djalma de Sousa Bom	m 
Sâmia de Souza Bomfim	f 
Ivan Oreste Bonato	m 
Antônio Maciel Bonfim	m 
Ervin Bonkoski	m 
Edson Burlamaqui Simões Bonna	m 
Germano Mostardeiro Bonow	m 
Raul Bopp	m 
José Rodrigues Borba	m 
Firmino Antônio Borba	m 
Paraílio Borba	m 
José Osório de Morais Borba	m 
Doorgal Borges	m 
César Augusto Rabelo Borges	m 
João Eunápio Borges	m 
Manuel Veloso Borges	m 
Virgínio Veloso Borges	m 
Josafá Carlos Borges	m 
Tomás Pompeu Acióli Borges	m 
Nei Ortiz Borges	m 
Valdir Ramos Borges	m 
Jonas Pinheiro Borges	m 
Geovani Pinheiro Borges	m 
Jânio Natal Andrade Borges	m 
Gilvan Pinheiro Borges	m 
Maria Aparecida Borghetti	f 
Hugo Borghi	m 
Célio de Oliveira Borja	m 
Jorge Konder Bornhausen	m 
Paulo Roberto Barreto Bornhausen	m 
Irineu Bornhausen	m 
Lício Proença Borralho	m 
Paulo Bosísio	m 
Anísio Botelho	m 
Ormeu Junqueira Botelho	m 
Sílvio Lofego Botelho	m 
Antero de Andrade Botelho	m 
José João da Costa Botelho	m 
José Mendes Botelho	m 
Eurípedes Miranda Botelho	m 
Alberto Botino	m 
Carlos Pena Boto	m 
Mário Bouchardet	m 
Valdir Bouhid	m 
Valentim Fernandes Bouças	m 
Fernando Carlos Botelho Bracher	m 
Antônio de Vilhena Ferreira Braga	m 
Dulce Sales Cunha Braga	f 
